대지위치,착공예정일,실착공일,사용승인일,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정용면적(㎡),용적률(%),주용도,기타용도,위도,경도,labels
경기도 광명시 노온사동 382-2,20060511.0,20060511.0,20060831.0,513.0,199.0,38.79,199.0,199.0,38.79,제2종근린생활시설,제조업소,37.4421765,126.8439752,제2종근린생활시설
경기도 광명시 노온사동 435-5,20060516.0,20060516.0,20060712.0,478.0,198.0,41.42,198.0,198.0,41.42,제2종근린생활시설,제조업소,37.4427398,126.8494914,제2종근린생활시설
경기도 광명시 철산동 32,20070102.0,20060519.0,20070516.0,1052.5,520.63,49.47,706.94,706.94,67.17,위험물저장및처리시설,,37.4890327,126.8694066,위험물저장및처리시설
경기도 광명시 광명동 164-12,20060523.0,20060523.0,20060831.0,296.0,192.97,65.19,320.4,320.4,108.24,제2종근린생활시설,수리점,37.4807693,126.8489944,제2종근린생활시설
경기도 광명시 노온사동 572-77,20060525.0,20060524.0,20060809.0,329.0,196.46,59.71,196.46,196.46,59.71,단독주택,,37.438146,126.8447188,단독주택
경기도 광명시 소하동 736,20060602.0,20060602.0,20060926.0,380.0,167.66,44.12,228.22,228.22,60.06,제2종근린생활시설,일반음식점,37.4349197,126.8928172,제2종근린생활시설
경기도 광명시 노온사동 780,20060603.0,20060602.0,20060926.0,376.0,190.2,50.59,190.2,190.2,50.59,제2종근린생활시설,제조업소,37.4318506,126.8523311,제2종근린생활시설
경기도 광명시 소하동 735-1,20060602.0,20060602.0,20061025.0,330.0,162.06,49.11,199.2,199.2,60.36,단독주택,,37.4350075,126.8929012,단독주택
경기도 광명시 노온사동 780,20060602.0,20060602.0,20060926.0,334.0,168.5,50.45,168.5,168.5,50.45,제2종근린생활시설,제조업소,37.4318506,126.8523311,제2종근린생활시설
경기도 광명시 일직동 226,20060610.0,20060609.0,20061114.0,330.0,197.6,59.88,197.6,197.6,59.88,단독주택,,37.4212396,126.886224,단독주택
경기도 광명시 노온사동 780,20060621.0,20060620.0,20060926.0,334.0,179.9,53.86,231.88,231.88,69.43,제2종근린생활시설,제조업소,37.4318506,126.8523311,제2종근린생활시설
경기도 광명시 노온사동 157-5,20060621.0,20060622.0,20061117.0,462.0,198.9,43.05,198.9,198.9,43.05,제2종근린생활시설,제조업,37.4522036,126.8501341,제2종근린생활시설
경기도 광명시 옥길동 141-20,20060627.0,20060627.0,20060906.0,283.0,169.69,59.96,169.69,169.69,59.96,단독주택,,37.4706594,126.838837,단독주택
경기도 광명시 노온사동 158-2,20060707.0,20060707.0,20080805.0,585.0,238.96,40.85,297.94,297.94,50.93,제2종근린생활시설,단독주택,37.4517669,126.8503439,제2종근린생활시설
경기도 광명시 노온사동 933-1,20060721.0,20060721.0,20061220.0,330.0,190.0,57.58,296.72,296.72,89.92,단독주택,단독주택,37.4261325,126.8472956,단독주택
경기도 광명시 가학동 912-7,20060803.0,20060803.0,20061106.0,330.0,196.65,59.59,196.65,196.65,59.59,단독주택,,37.4087218,126.8545805,단독주택
경기도 광명시 노온사동 44,20060803.0,20060803.0,20061129.0,1480.0,499.5,33.75,499.5,499.5,33.75,동물및식물관련시설,축사,37.4569095,126.856213,동물및식물관련시설
경기도 광명시 노온사동 46-2,20060803.0,20060803.0,20061129.0,1480.0,499.5,33.75,499.5,499.5,33.75,동물및식물관련시설,축사,37.4547932,126.8486385,동물및식물관련시설
경기도 광명시 노온사동 46-2,20060803.0,20060803.0,20061129.0,1480.0,499.5,33.75,499.5,499.5,33.75,동물및식물관련시설,축사(퇴비사),37.4547932,126.8486385,동물및식물관련시설
